event_date,event_location,fighter_1,fighter_2,result,method_main,method_detail,round,time,fighter_1_kd,fighter_1_str,fighter_1_td,fighter_1_sub,fighter_2_kd,fighter_2_str,fighter_2_td,fighter_2_sub,weight_class,fighter_1_height,fighter_1_weight,fighter_1_reach,fighter_1_stance,fighter_1_dob,fighter_1_age_at_fight,fighter_1_current_age,fighter_1_wins,fighter_1_losses,fighter_1_draws,fighter_1_SLpM,fighter_1_Str_Acc,fighter_1_SApM,fighter_1_Str_Def,fighter_1_TD_Avg,fighter_1_TD_Acc,fighter_1_TD_Def,fighter_1_Sub_Avg,fighter_2_height,fighter_2_weight,fighter_2_reach,fighter_2_stance,fighter_2_dob,fighter_2_age_at_fight,fighter_2_current_age,fighter_2_wins,fighter_2_losses,fighter_2_draws,fighter_2_SLpM,fighter_2_Str_Acc,fighter_2_SApM,fighter_2_Str_Def,fighter_2_TD_Avg,fighter_2_TD_Acc,fighter_2_TD_Def,fighter_2_Sub_Avg
7-Jun-25,"Newark, New Jersey, USA",Merab Dvalishvili,Sean O'Malley,win,SUB,Guillotine Choke,3,4:42,0,52,5,1,0,31,0,0,Bantamweight,"5' 6""",135 lbs.,"68""",Orthodox,10-Jan-91,34,34,20,4,0,4.31,42%,2.48,56%,5.84,35%,82%,0.3,"5' 11""",135 lbs.,"72""",Switch,24-Oct-94,30,30,18,3,0,6.3,61%,3.48,60%,0.27,42%,61%,0.3
7-Jun-25,"Newark, New Jersey, USA",Kayla Harrison,Julianna Pena,win,SUB,Kimura,2,4:55,0,30,2,1,0,9,0,0,Women's Bantamweight,"5' 8""",135 lbs.,"66""",Southpaw,2-Jul-90,34,34,19,1,0,4.29,62%,1.1,66%,2.84,37%,100%,0.9,"5' 6""",135 lbs.,"69""",Orthodox,19-Aug-89,35,35,13,6,0,3.1,44%,2.56,57%,1.7,54%,24%,0.8
7-Jun-25,"Newark, New Jersey, USA",Joe Pyfer,Kelvin Gastelum,win,U-DEC,,3,5:00,2,57,1,0,0,33,0,0,Middleweight,"6' 2""",185 lbs.,"75""",Orthodox,17-Sep-96,28,28,14,3,0,3.74,43%,3.2,54%,1.35,42%,60%,0.7,"5' 9""",185 lbs.,"71""",Southpaw,24-Oct-91,33,33,20,10,0,3.67,42%,3.49,57%,1.05,34%,58%,0.1
7-Jun-25,"Newark, New Jersey, USA",Mario Bautista,Patchy Mix,win,U-DEC,,3,5:00,0,173,0,0,0,122,0,0,Bantamweight,"5' 9""",135 lbs.,"69""",Switch,1-Jul-93,31,31,16,2,0,6.13,49%,4.45,55%,1.67,33%,67%,0.8,"5' 11""",135 lbs.,"70""",Southpaw,16-Aug-93,31,31,20,2,0,8.13,40%,11.53,42%,0,0%,0%,0
7-Jun-25,"Newark, New Jersey, USA",Kevin Holland,Vicente Luque,win,SUB,Anaconda Choke,2,1:03,0,40,1,1,0,24,0,0,Welterweight,"6' 3""",170 lbs.,"81""",Orthodox,5-Nov-92,32,32,28,13,0,4.24,50%,3.11,50%,0.81,39%,55%,0.6,"5' 11""",170 lbs.,"75""",Orthodox,27-Nov-91,33,33,23,11,1,5.02,51%,5.25,52%,0.97,51%,61%,0.7
7-Jun-25,"Newark, New Jersey, USA",Joshua Van,Bruno Silva,win,KO/TKO,Punches,3,4:01,3,125,0,0,0,76,1,0,Flyweight,"5' 5""",125 lbs.,"65""",Orthodox,10-Oct-01,23,23,14,2,0,8.2,54%,5.26,59%,0.96,63%,81%,0,"5' 4""",125 lbs.,"65""",Orthodox,16-Mar-90,35,35,14,7,2,3.83,49%,4.81,50%,1.79,23%,60%,0.2
7-Jun-25,"Newark, New Jersey, USA",Azamat Murzakanov,Brendson Ribeiro,win,KO/TKO,Punches,1,3:25,1,27,0,0,0,8,0,0,Light Heavyweight,"5' 10""",205 lbs.,"71""",Southpaw,12-Apr-89,36,36,15,0,0,4.93,57%,2.86,61%,0.58,15%,83%,0,"6' 3""",205 lbs.,"81""",Orthodox,8-Sep-96,28,28,17,8,0,3.26,42%,4.04,52%,0.99,42%,0%,0.7
7-Jun-25,"Newark, New Jersey, USA",Waldo Cortes-Acosta,Serghei Spivac,win,U-DEC,,3,5:00,0,110,0,0,0,48,2,0,Heavyweight,"6' 4""",260 lbs.,"78""",Orthodox,3-Oct-91,33,33,14,1,0,5.98,48%,3.43,55%,0.42,50%,66%,0.1,"6' 3""",260 lbs.,"78""",Orthodox,24-Jan-95,30,30,17,6,0,3.45,48%,4.25,50%,4.21,62%,63%,0.5
7-Jun-25,"Newark, New Jersey, USA",Andreas Gustafsson,Khaos Williams,win,U-DEC,,3,5:00,0,98,8,0,0,39,0,0,Welterweight,"6' 1""",170 lbs.,"73""",Orthodox,20-Feb-91,34,34,12,2,0,5.83,76%,2.79,45%,6.43,58%,100%,0,"6' 0""",170 lbs.,"77""",Orthodox,30-Mar-94,31,31,15,5,0,4.94,39%,5.39,40%,0,0%,51%,0
7-Jun-25,"Newark, New Jersey, USA",Wang Cong,Ariane da Silva,win,U-DEC,,3,5:00,1,143,0,0,0,63,0,0,Women's Flyweight,"5' 6""",125 lbs.,"66""",Southpaw,15-May-92,33,33,8,1,0,7.48,57%,2.68,63%,1.05,75%,100%,0.7,"5' 6""",125 lbs.,"67""",Orthodox,26-Jan-94,31,31,17,11,0,4.05,41%,4.4,50%,0.47,38%,68%,0.3
7-Jun-25,"Newark, New Jersey, USA",JooSang Yoo,Jeka Saragih,win,KO/TKO,Punch,1,0:28,1,6,0,0,0,2,0,0,Featherweight,"5' 7""",145 lbs.,"71""",Orthodox,21-Jan-94,31,31,9,0,0,12.86,75%,4.29,50%,0,0%,0%,0,"5' 8""",145 lbs.,"69""",Orthodox,1-Jan-95,30,30,14,5,0,2.75,50%,2.82,40%,2.17,80%,66%,0.5
7-Jun-25,"Newark, New Jersey, USA",Quillan Salkilld,Yanal Ashmouz,win,U-DEC,,3,5:00,0,79,8,0,0,41,0,0,Lightweight,"6' 0""",155 lbs.,"75""",Orthodox,28-Dec-99,25,25,9,1,0,5.48,59%,3.46,45%,8.41,37%,100%,0.5,"5' 9""",155 lbs.,"69""",Orthodox,31-Mar-95,30,30,8,2,0,2.88,50%,4.78,50%,3.24,38%,64%,0
7-Jun-25,"Newark, New Jersey, USA",MarQuel Mederos,Mark Choinski,win,U-DEC,,3,5:00,1,110,0,0,0,58,2,0,Lightweight,"5' 10""",155 lbs.,"69""",Orthodox,30-Nov-96,28,28,11,1,0,4.84,56%,2.99,58%,0,0%,83%,0,"5' 8""",155 lbs.,"69""",Orthodox,22-Oct-95,29,29,8,1,0,3.87,50%,7.33,33%,2,18%,0%,0
